Timestamp,How old are you?,What's your gender?,What's your occupation?,Which area do you live in around Seattle?,Do you own a car?,"How would you rate your daily commute experience using public transportation? 
(1 = Very poor 5 = Excellent) ","Why did you give this rating?
(Short answer)",Have you ever ridden shared e-scooters or e-bikes?  ,Which have you used?  ,When do you usually use it? (Short answer),Why do you use it? (Please briefly decribe the situation),"How would you rate your overall riding experience?
(1 = Very poor 5 = Excellent)  ",Why did you give this rating?(Short answer),Are you planning to continue using e-scooters / e-bikes?  ,Why are you continue using them? (Short answer),Pick up top 3 areas you think need improvement:  ,Why are you not going to use them? (Short answer),How do you usually commute? (Short answer),Why have you not used shared e-scooters or e-bikes? (Short answer) 
10/17/2025 10:01:24,25 -34,Female,Full-time employee,Wallingford,Yes,5,I WFH,No,,,,,,,,,,I walk downstairs to my office,I walk downstairs to my office
10/18/2025 20:48:55,35 - 44,Female,Part time student,Redmond,Yes,3,"Public transportation is good,  saving fuel and you don't need to drive but the rainy weather make it hard to walk to bus station and sometimes it takes longer ",Yes,E-bikes,When is nice and warm out,To enjoy the weather and save time on traveling,4,I like it but only when it's nice out ,Yes,"I want to save on gas, protecting the environment and enjoy the weather when i can","Following traffic regulations, Parking experience, Limited vehicle accessibility",,,
10/19/2025 14:33:45,35 - 44,Male,Full-time employee,Ballard,Yes,5,It's easy to get around and I'm not afraid of walking.,Yes,Both,When I'm being lazy and feel like dropping $10 I could save on walking, Novelty.,1,"They're never available, too expensive, and don't actually solve any of the issues of short-term travel.",No,,"Vehicle maintenance / condition, Parking experience, Payment / pricing",They suck compared to walking.,,
10/19/2025 14:34:24,45+,Non-binary,Full-time employee,Capitol Hill,Yes,1,Public transit is great north/south but terrible east/west,No,,,,,,,,,,Car,Concerned about lack of helmet
10/19/2025 14:43:05,45+,Female,Full-time employee,Downtown/Waterfront,Yes,5,I walk to work ,Yes,E-scooters,To/from stadiums,Convenient and fun!,4,Bike path on waterfront to/from Lumen/T-Mobile is great. Options to/from Climate Pledge could use improvement ,Yes,Convenient and fun,"Following traffic regulations, Vehicle maintenance / condition, Payment / pricing",,,
10/19/2025 14:45:44,35 - 44,Female,Full-time employee,Northgate ,Yes,3,Bus ride is bump and often very full,Yes,Both,Going to the bus stop,Faster than walking,4,Easy and simple,Yes,They’re convenient ,"Finding available vehicles, Vehicle maintenance / condition, Limited vehicle accessibility",,,
10/19/2025 14:47:44,25 -34,Female,Full-time employee,Montlake,Yes,3,I live a 10-15 minute walk to bus stops and 25 from light rail. I used to live in the cd where the bus was a block away and the light rail was 15 min basically a 5 star experience,No,,,,,,,,,,car or bus,safety concerns
10/19/2025 15:51:44,35 - 44,Female,Full-time employee,Lower Queen Anne,Yes,4,Ease/time due to closeness to work,Yes,Both,Scooter,Shortens commute time (vs walking) especially in weather,4,"Could use more bike lanes, but overall fairly easy to find and use scooter",Yes,Convenience ,"Following traffic regulations, Vehicle maintenance / condition, Payment / pricing",,,
10/19/2025 17:06:24,35 - 44,Male,Full-time employee,Roosevelt,No,2,"Slow, busy, overcrowded",Yes,Both,Not frequently ,Trying it out ,1,"Expensive, unsafe",No,,"Following traffic regulations, Parking experience, Payment / pricing",Expensive and not safe,,
10/19/2025 17:14:36,45+,Male,Full-time employee,Belltown,Yes,5,I walk 11 minutes to work.,Yes,Both,"Meetings too far to walk to, but not worth taking a car to.",Faster than walking.,5,"Plenty of options, lots available.",Yes,Ese of use and availability. At least until I buy my own.,"Vehicle maintenance / condition, Payment / pricing",,,
10/19/2025 17:50:01,35 - 44,Male,Full-time employee,Bainbridge Island,Yes,5,WSDOT Ferry is fun,No,,,,,,,,,,Bicycle,No need
10/19/2025 23:12:12,25 -34,Male,Student,Fremont,Yes,4, .,Yes,Both,When running late and short distance,It is quick,3,It is too expensive for regular use,No,,Payment / pricing,Too expensive ,,
10/20/2025 11:51:37,25 -34,Female,Full-time employee,Belltown,Yes,4,"I dont take public transportation every day, but when i do i feel that it is safe and reliable mostly. (Frequently late but not terrible)",No,,,,,,,,,,"Walk, bus, light rail","Dangerous. Falling or getting hit by a car would cause serious injury. They arent safe to ride on the roads unless in the bike lane, but then you have to deal with aggressive bicyclists. "
10/20/2025 12:45:36,25 -34,Non-binary,Full-time employee,Fremont,Yes,3,I wish I could use it more! I work long hours in Snohomish Cty so it's not feasible.,Yes,E-scooters,After a night out,Don't want to drive,2,It's scary lol,No,,Following traffic regulations,They freak me out and i'd rather walk,,
10/20/2025 15:25:18,35 - 44,Male,Full-time employee,Fremont,Yes,5,My commute by bus is approximately 15 minutes door-to-door. It's on the E-line which comes frequently.,No,,,,,,,,,,Bus,"I don't want to. I can walk, ride my own bike or take public transit to get around town. I only use my car to travel outside of the city. Also, I think e-scooters and e-bikes are dangerous and should not be used in the city of Seattle."
10/20/2025 16:58:14,35 - 44,Female,Full-time employee,columbia city,Yes,3,"I take the light rail, which is generally a very good experience. My lower score is the section of the trip between my home and the light rail. it's a little under a mile. I walk.",Yes,E-bikes,"I haven't used it since I got a car, but I used to use the bikes often for trips between .75 miles and 2ish miles","Never anymore, although I have been thinking of signing up again",3,"my area does not have good bike access. People using scooters and bikes generally ride on the sidewalk, which is annoying as a pedestrian. very few use their bells to alert peds.",Yes,*,Following traffic regulations,,,
10/20/2025 19:20:39,45+,Male,Full-time employee,Capitol Hill,Yes,3,I don’t take public transit for my daily commute ,No,,,,,,,,,,Walk or work from home,I prefer to walk and find e bikes/scooters to be fairly unsafe
10/21/2025 15:52:06,35 - 44,Female,Business owner,Belltown,No,2,Lack of consistent service,No,,,,,,,,,,Walk then bus,I don't want to ride in the street and I've seen brain injuries
10/22/2025 11:11:17,25 -34,Female,Full-time employee,"North Seattle, Bitter lake area",Yes,3,"Longer than desirable, often very crowded ",Yes,Both,"On days I don’t want to bike to the Link and can’t drive. Mornings 7am, afternoons 4 pm. ",Use it to get to the link station from home. ,3,"Managing the scooter on public transport is a pain, commute is to far to ride it directly there. ",Yes,"Less effort than a bike, quicker than walking or busing","Finding available vehicles, Vehicle maintenance / condition, Payment / pricing",,,
10/22/2025 11:18:49,45+,Female,Part-time,Columbia City,Yes,4,"I take the light rail. slightly unreliable at times, but way better than the bus! ",No,,,,,,,,,,walking / light rail / bus,riding in traffic too scary. riding on sidewalks not OK in my opinion. 
10/22/2025 13:16:58,35 - 44,Perfer not to say,Full-time employee,Capitol Hill,Yes,4,"It's ok, not as good as larger cities",No,,,,,,,,,,"Bus, light rail, walking",I hate them. people ride them on sidewalks and it's super annoying / dangerous
